 	PRR0	PRR1	PRR2	PRR3	PRR4	GPP0
  46--	110*****	18*****	70*****	76#####	79*****	46*****
  47--	.....	18*****	70*****	76#####	79*****	46*****
  48--	88*****	77*****	70*****	76*****	85*****	46*****
  49--	88*****	77*****	70*****	76*****	85*****	46*****
  50--	88*****	77*****	70*****	76*****	85*****	46*****
  51--	88*****	77*****	70*****	76*****	85*****	46*****
  52--	118*****	24*****	70*****	55*****	35*****	46*****
  53--	118*****	24*****	70*****	55*****	35*****	46*****
  54--	118*****	24*****	70*****	55*****	35*****	46*****
  55--	118*****	24*****	70*****	55*****	35*****	46*****
  56--	22#####	21*****	70*****	59*****	53*****	46*****
  57--	22#####	21*****	70*****	59*****	53*****	46*****
  58--	22#####	21*****	70*****	59*****	53*****	46*****
  59--	22#####	21*****	70*****	59*****	53*****	46*****
  60--	22*****	124*****	99*****	132*****	103*****	8*****
  61--	22*****	124*****	99*****	132*****	103*****	8*****
  62--	22*****	124*****	99*****	132*****	103*****	8*****
  63--	22*****	124*****	99*****	132*****	103*****	8*****
  64--	22*****	106*****	99*****	10*****	47*****	8*****
  65--	22*****	106*****	99*****	10*****	47*****	8*****
  66--	22*****	106*****	99*****	10*****	47*****	8*****
  67--	22*****	106*****	99*****	10*****	47*****	8*****
  68--	22*****	71*****	99*****	78*****	82*****	8*****
  69--	22*****	71*****	99*****	78*****	82*****	8*****
  70--	22*****	71*****	99*****	78*****	82*****	8*****
  71--	22*****	71*****	99*****	78*****	82*****	8*****
  72--	22*****	45*****	99*****	131*****	120*****	8*****
  73--	22*****	45*****	99*****	131*****	120*****	8*****
  74--	22*****	45*****	99*****	131*****	120*****	8*****
  75--	22*****	45*****	99*****	131*****	120*****	8*****
  76--	64*****	126*****	116*****	60*****	80*****	8*****
  77--	64*****	126*****	116*****	60*****	80*****	8*****
  78--	64*****	126*****	116*****	60*****	80*****	8*****
  79--	64*****	126*****	116*****	60*****	80*****	49*****
  80--	64*****	100*****	116*****	67*****	92*****	49*****
  81--	64*****	100*****	116*****	67*****	92*****	49*****
  82--	64*****	100*****	116*****	67*****	92*****	49*****
  83--	64*****	100*****	116*****	67*****	92*****	49*****
  84--	64*****	125*****	116*****	48*****	57*****	49*****
  85--	64*****	125*****	116*****	48*****	57*****	49*****
  86--	64*****	125*****	116*****	48*****	57*****	49*****
  87--	64*****	125*****	116*****	48*****	57*****	49*****
  88--	64*****	130*****	116*****	91*****	51*****	49*****
  89--	64*****	130*****	116*****	91*****	51*****	49*****
  90--	64*****	130*****	116*****	91*****	51*****	49*****
  91--	64*****	130*****	116*****	91*****	51*****	49*****
  92--	42*****	109*****	27*****	104*****	65#####	49*****
  93--	42*****	109*****	27*****	104*****	65#####	49*****
  94--	42*****	109*****	27*****	104*****	65#####	49*****
  95--	42*****	109*****	27*****	104*****	65#####	49*****
  96--	42*****	98*****	27*****	90#####	65*****	49*****
  97--	42*****	98*****	27*****	90#####	65*****	49*****
  98--	42*****	98*****	27*****	90#####	65*****	119*****
  99--	42*****	98*****	27*****	90*****	65*****	119*****
 100--	42*****	62*****	27*****	90*****	65*****	119*****
 101--	42*****	62*****	27*****	90*****	65*****	119*****
 102--	42*****	62*****	27*****	90*****	65*****	119*****
 103--	42*****	62*****	27*****	90*****	65*****	119*****
 104--	42*****	95*****	27*****	90*****	65*****	119*****
 105--	42*****	95*****	27*****	90*****	65*****	119*****
 106--	42*****	95*****	27*****	90*****	65*****	119*****
 107--	42*****	95*****	27*****	90*****	65*****	119*****
 108--	139*****	63*****	23*****	90*****	65*****	119*****
 109--	139*****	63*****	23*****	90*****	65*****	119*****
 110--	139*****	63*****	23*****	90*****	65*****	119*****
 111--	139*****	63*****	23*****	90*****	65*****	119*****
 112--	139*****	68*****	23*****	90*****	28*****	119*****
 113--	139*****	68*****	23*****	90*****	28*****	119*****
 114--	139*****	68*****	23*****	90*****	28*****	119*****
 115--	139*****	68*****	23*****	122*****	28*****	119*****
 116--	139*****	93#####	23*****	122*****	28*****	119*****
 117--	139*****	93#####	23*****	122*****	28*****	119*****
 118--	139*****	93#####	23*****	122*****	28*****	121*****
 119--	139*****	93*****	23*****	122*****	28*****	121*****
 120--	139*****	93*****	23*****	122*****	28*****	121*****
 121--	139*****	93*****	23*****	122*****	28*****	121*****
 122--	139*****	93*****	23*****	122*****	28*****	149*****
 123--	139*****	41*****	23*****	122*****	28*****	149*****
 124--	127*****	41*****	135*****	122*****	28*****	149*****
 125--	127*****	41*****	135*****	122*****	28*****	149*****
 126--	127*****	41*****	135*****	122*****	28*****	50*****
 127--	127*****	113*****	135*****	122*****	28*****	50*****
 128--	127*****	113*****	135*****	122*****	101*****	50*****
 129--	127*****	113*****	135*****	122*****	101*****	50*****
 130--	127*****	113*****	135*****	122*****	101*****	54*****
 131--	127*****	148*****	135*****	83*****	101*****	54*****
 132--	127*****	148*****	135*****	83*****	101*****	54*****
 133--	127*****	148*****	135*****	83*****	101*****	54*****
 134--	127*****	148*****	135*****	83*****	101*****	137*****
 135--	127*****	69*****	135*****	83*****	101*****	137*****
 136--	127*****	69*****	135*****	83*****	101*****	137*****
 137--	127*****	69*****	135*****	83*****	101*****	137*****
 138--	127*****	69*****	135*****	83*****	101*****	137*****
 139--	127*****	72*****	135*****	83*****	101*****	137*****
 140--	73*****	72*****	105#####	83*****	101*****	137*****
 141--	73*****	72*****	105#####	83*****	101*****	137*****
 142--	73*****	72*****	105#####	83*****	101*****	137*****
 143--	73*****	66*****	105*****	83*****	101*****	137*****
 144--	73*****	66*****	105*****	83*****	134*****	137*****
 145--	73*****	66*****	105*****	83*****	134*****	137*****
 146--	73*****	66*****	105*****	83*****	134*****	137*****
 147--	73*****	75*****	44*****	.....	134*****	137*****
 148--	73*****	75*****	44*****	143#####	134*****	137*****
 149--	73*****	75*****	44*****	143#####	134*****	137*****
 150--	73*****	75*****	44*****	143#####	134*****	......
 151--	73*****	128*****	117*****	143*****	134*****	89*****
 152--	73*****	128*****	117*****	143*****	134*****	89*****
 153--	73*****	128*****	117*****	143*****	134*****	89*****
 154--	73*****	128*****	117*****	143*****	134*****	89*****
 155--	73*****	81*****	123*****	111*****	134*****	89*****
 156--	108#####	81*****	123*****	111*****	134*****	89*****
 157--	108#####	81*****	123*****	111*****	134*****	89*****
 158--	108#####	81*****	123*****	111*****	134*****	89*****
 159--	108*****	86*****	.....	112#####	134*****	89*****
 160--	108*****	86*****	.....	112#####	.....	89*****
 161--	108*****	86*****	.....	112#####	.....	89*****
 162--	108*****	86*****	.....	112#####	.....	89*****
 163--	61*****	.....	.....	112*****	96#####	89*****
 164--	61*****	144*****	.....	112*****	96#####	89*****
 165--	61*****	144*****	.....	112*****	96#####	89*****
 166--	61*****	144*****	.....	112*****	96#####	89*****
 167--	74*****	144*****	94#####	138*****	96*****	147*****
 168--	74*****	.....	94#####	138*****	96*****	147*****
 169--	74*****	.....	94#####	138*****	96*****	133*****
 170--	74*****	.....	94#####	138*****	96*****	133*****
 171--	84*****	140#####	94*****	146*****	.....	97*****
 172--	84*****	140#####	94*****	146*****	.....	97*****
 173--	84*****	140#####	94*****	146*****	.....	97*****
 174--	84*****	140#####	94*****	146*****	.....	97*****
 175--	129*****	140*****	.....	.....	115#####	97*****
 176--	129*****	140*****	.....	.....	115#####	97*****
 177--	129*****	140*****	.....	.....	115#####	97*****
 178--	129*****	140*****	.....	.....	115#####	97*****
 179--	.....	141*****	.....	87#####	115*****	97*****
 180--	.....	141*****	.....	87#####	115*****	97*****
 181--	.....	141*****	.....	87#####	115*****	97*****
 182--	.....	141*****	.....	87#####	115*****	97*****
 183--	.....	.....	136#####	87*****	115*****	97*****
 184--	.....	.....	136#####	87*****	115*****	97*****
 185--	.....	.....	136#####	87*****	115*****	97*****
 186--	.....	.....	136*****	87*****	115*****	97*****
 187--	.....	.....	136*****	87*****	115*****	97*****
 188--	.....	.....	136*****	87*****	115*****	97*****
 189--	.....	.....	136*****	87*****	115*****	97*****
 190--	.....	.....	136*****	87*****	115*****	97*****
 191--	.....	.....	136*****	87*****	115*****	......
 192--	.....	.....	136*****	87*****	115*****	......
 193--	.....	.....	136*****	87*****	115*****	......
 194--	.....	.....	136*****	87*****	115*****	......
 195--	.....	.....	136*****	87*****	.....	142*****
 196--	.....	.....	136*****	87*****	.....	142*****
 197--	.....	.....	136*****	87*****	.....	142*****
 198--	.....	.....	136*****	87*****	.....	142*****
 199--	.....	.....	136*****	.....	.....	142*****
 200--	.....	.....	136*****	.....	.....	142*****
 201--	.....	.....	136*****	.....	.....	142*****
 202--	.....	.....	.....	.....	.....	142*****
 203--	.....	.....	.....	.....	.....	142*****
 204--	.....	.....	.....	.....	.....	142*****
 205--	.....	.....	.....	.....	.....	142*****
 206--	.....	.....	.....	.....	.....	142*****
 207--	.....	.....	.....	.....	.....	142*****
 208--	.....	.....	.....	.....	.....	142*****
 209--	.....	.....	.....	.....	.....	142*****
 210--	.....	.....	.....	.....	.....	142*****
 211--	.....	.....	.....	.....	.....	142*****
 212--	.....	.....	.....	.....	.....	142*****
 213--	.....	.....	.....	.....	.....	142*****
 214--	.....	.....	.....	.....	.....	145*****
 215--	.....	.....	.....	.....	.....	145*****
 216--	.....	.....	.....	.....	.....	145*****
 217--	.....	.....	.....	.....	.....	145*****
 218--	.....	.....	.....	.....	.....	145*****
 219--	.....	.....	.....	.....	.....	145*****
 220--	.....	.....	.....	.....	.....	145*****
 221--	.....	.....	.....	.....	.....	145*****
 222--	.....	.....	.....	.....	.....	145*****
 223--	.....	.....	.....	.....	.....	145*****
 224--	.....	.....	.....	.....	.....	145*****
 225--	.....	.....	.....	.....	.....	145*****
 226--	.....	.....	.....	.....	.....	145*****
 227--	.....	.....	.....	.....	.....	145*****
 228--	.....	.....	.....	.....	.....	145*****
